sim,i,message i,label i,j,message j,label j
0.9798608598510173,7029,Why can I not do a  transfer,beneficiary_not_allowed,7476,Why can I not make a transfer?,failed_transfer
0.9788842472258092,3264,It looks like my top-up was cancelled,top_up_reverted,8597,Looks like my top-up has been cancelled,top_up_failed
0.9760225782506263,3553,There is a payment I don't recognize,card_payment_not_recognised,4792,There is a payment I don't recognise!,direct_debit_payment_not_recognised
0.9746224149836329,3171,Seems like my top-up has been cancelled,top_up_reverted,8597,Looks like my top-up has been cancelled,top_up_failed
0.973868443811846,6067,How long does a transfer take?,pending_transfer,8671,How long does transfers take?,balance_not_updated_after_bank_transfer
0.9737867967819831,6643,How long does it take for a transfer to show up in my account?,transfer_timing,8665,How long do transfers take to show up in my account?,balance_not_updated_after_bank_transfer
0.9718323978652803,1086,How will I get my card?,card_delivery_estimate,8095,How do I get my card?,order_physical_card
0.9703165091519043,1731,Is there a way to reset my PIN?,pin_blocked,6956,Can I reset my PIN?,change_pin
0.9691054103542306,103,When will my new card arrive?,card_arrival,1107,When can I expect my new card to get here?,card_delivery_estimate
0.9668820786328798,3015,Can i have a virtual card?,getting_virtual_card,8422,can i get a virtual card,get_disposable_virtual_card
0.9641133209614222,7029,Why can I not do a  transfer,beneficiary_not_allowed,7468,Why can't I make a transfer?,failed_transfer
0.9640711582620316,3864,How to verify my identity,why_verify_identity,9790,How can I verify my identity?,verify_my_identity
0.9640388479356596,1675,Where do I find PIN for my card?,pin_blocked,4032,Where can I find my card PIN?,get_physical_card
0.9635427519146447,109,When will my new card be delivered?,card_arrival,1107,When can I expect my new card to get here?,card_delivery_estimate
0.9633562082423534,1982,My top-up hasn't gone through,pending_top_up,8512,My top-up didn't go through,top_up_failed
0.9630447136831666,6061,My transfer hasn't appeared yet,pending_transfer,8715,MY transfer has still not appeared.,balance_not_updated_after_bank_transfer
0.961327396155169,125,How long until my new card gets here?,card_arrival,1107,When can I expect my new card to get here?,card_delivery_estimate
0.9608730533734725,2802,I transferred some money but it hasn't arrived.,transfer_not_received_by_recipient,8736,I transferred some money but it hasn't arrived yet,balance_not_updated_after_bank_transfer
0.9608519505644623,75,How long will it take for me to get my card?,card_arrival,1064,How soon will I get my card?,card_delivery_estimate
