Split,i,ID,Message,Truth,Maybe Better
1,1,5623,Why did my payment get declined?,declined_transfer,declined_card_payment
1,2,5803,"i need a refund from you because the merchant is refusing, can you do that?",Refund_not_showing_up,request_refund
1,3,5012,my card was frozen due to putting in the wrong pin too much.  how many tries do i have,declined_cash_withdrawal,pin_blocked
1,4,2969,Can I use this app for any currency?,supported_cards_and_currencies,exchange_via_app
1,5,3263,My automatic top-up was unsuccessful,top_up_reverted,top_up_failed
1,6,8726,My transfer is pending too long.,balance_not_updated_after_bank_transfer,pending_transfer
1,7,3795,what I need to verify my account,why_verify_identity,verify_my_identity
1,8,1304,What's wrong with my card? The clerk at the grocery store said it was declined.,card_not_working,declined_card_payment
1,9,3864,How to verify my identity,why_verify_identity,verify_my_identity
1,10,1904,Does it cost me to add cash?,top_up_by_bank_transfer_charge,top_up_by_card_charge
1,11,8256,Why is the exchange rate different than expected on my transaction?,wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate
1,12,6008,My payment shows that it is pending will I be charged more money?,pending_transfer,pending_card_payment
1,13,7016,My transfer to an account failed.,beneficiary_not_allowed,failed_transfer
1,14,1969,My account is  new  why can I  not top up,pending_top_up,top_up_failed
1,15,5198,Why didn't my payment process,pending_card_payment,declined_card_payment
1,16,4639,Is there a way for you to find out why my account was deducted from a seller when I didn't approve of it?,direct_debit_payment_not_recognised,request_refund
1,17,9843,What do you demand for identity verification?,verify_my_identity,why_verify_identity
1,18,2866,Why is my transfer taking so long. I thought it was supposed to only take 1 day if I made a transfer to someone. Can you wee what went wrong?,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer
1,19,7155,Payment did not process,beneficiary_not_allowed,transfer_not_received_by_recipient
1,20,6007,How long do I have to wait for the transfer to be finalized?,pending_transfer,transfer_timing
1,21,5653,"please help me with this transfer, for some reason i can't transfer to a cryptocurency account",declined_transfer,card_acceptance
1,22,1086,How will I get my card?,card_delivery_estimate,order_physical_card
1,23,3857,how do I speed up identity verification?,why_verify_identity,verify_my_identity
1,24,694,"I'm pretty frustrated about a pound charge that keeps  showing up in my account statement. It's listed in the app as ""pending"", it never changes, and now I'm thinking someone's hacked my account!",extra_charge_on_statement,card_payment_not_recognised
1,25,4765,I have an unknown charge.,direct_debit_payment_not_recognised,card_payment_not_recognised
1,26,9499,I used an ATM and there was an extra charge.,cash_withdrawal_charge,top_up_by_card_charge
1,27,2289,"I need to add a serious amount of cash to my card, how do I do that?",top_up_limits,topping_up_by_card
1,28,2435,I haven't received my cash yet.,wrong_amount_of_cash_received,balance_not_updated_after_cheque_or_cash_deposit
1,29,2784,I transferred money and it hasn't come yet,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer
1,30,8086,do i need to add money before i order a card,order_physical_card,top_up_by_card_charge
1,31,1318,I tried using my card at multiple vendors and now it's not working.,card_not_working,virtual_card_not_working
1,32,7463,please help my transfer go through,failed_transfer,pending_transfer
1,33,7968,What apps can I use to top up my account?,top_up_by_cash_or_cheque,transfer_into_account
1,34,8015,I would like to pay by cheque.,top_up_by_cash_or_cheque,verify_source_of_funds
1,35,9080,Will I be charged for topping up?,top_up_by_card_charge,top_up_by_bank_transfer_charge
1,36,3789,I already have an account. Why can't I use it unless my identity is verified?,why_verify_identity,unable_to_verify_identity
1,37,2563,Why was I charged a fee? I thought shopping was free?,card_payment_fee_charged,cash_withdrawal_charge
1,38,4126,What credit cards do you carry,visa_or_mastercard,supported_cards_and_currencies
1,39,8725,"Transferred to account is not successful, help please?",balance_not_updated_after_bank_transfer,beneficiary_not_allowed
1,40,6697,Will it take more than 3 days for my transfer to reach my account?,transfer_timing,balance_not_updated_after_bank_transfer
1,41,7517,I tried to transfer money but it didn't go through,failed_transfer,beneficiary_not_allowed
1,42,8521,My top up was denied,top_up_failed,top_up_reverted
1,43,7156,I've been trying to make a transfer and it hasn't gone through. Now I am receiving an error message.  What is the problem?,beneficiary_not_allowed,failed_transfer
1,44,5667,"Why are all my transfers failing?  I have the details right and they won't complete.  I've been trying all day and they still won't go through, this is URGENT, please help.",declined_transfer,failed_transfer
1,45,3945,I will not be able to verify my identity.,unable_to_verify_identity,why_verify_identity
1,46,1497,"I thought I left my card at a restaurant, but they claim not to have it and now I don't have any idea where it is. I'm so worried that someone might be using it fraudulently. Is there any way to look into this?",lost_or_stolen_card,compromised_card
1,47,7505,"What stopped my transfer, from being accepted?",failed_transfer,declined_transfer
1,48,3384,"I put money in my account a week ago but its still not there, what is happening?",balance_not_updated_after_cheque_or_cash_deposit,pending_top_up
1,49,7098,"I have to transfer money over to my mother, and I have tried numerous times and all that keeps happening is error messages.",beneficiary_not_allowed,failed_transfer
1,50,7163,I didn't know there was a charge for tranferring. What is the charge?,transfer_fee_charged,top_up_by_bank_transfer_charge
1,51,8552,I believe my top up did not work.,top_up_failed,pending_top_up
1,52,7107,I tried transferring to an account but it didn't go through. What happened?,beneficiary_not_allowed,failed_transfer
1,53,2804,My transfer isn't in,transfer_not_received_by_recipient,failed_transfer
2,1,7099,why did my account decline a incoming transfer,beneficiary_not_allowed,declined_transfer
2,2,3214,My top up was rejected. Why?,top_up_reverted,top_up_failed
2,3,9321,I just got my card and cannot get it to work.,activate_my_card,card_not_working
2,4,1997,My money hasn't been deposited yet. When will it be?,pending_top_up,balance_not_updated_after_cheque_or_cash_deposit
2,5,6798,Card payment has be declined.,reverted_card_payment?,declined_card_payment
2,6,644,What is this fee debit on my account?,extra_charge_on_statement,direct_debit_payment_not_recognised
2,7,75,How long will it take for me to get my card?,card_arrival,card_delivery_estimate
2,8,7623,What currencies can I use to top up my account?,transfer_into_account,supported_cards_and_currencies
2,9,8210,Why is the fee for taking money out so high?  I feel I was overcharged and I would have never used this ATM if I would have known ahead of time.,wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge
2,10,1418,What currences are available for exchange?,exchange_via_app,fiat_currency_support
2,11,6275,I was removing a dollar amount from my account and now don't have access to my card.,card_swallowed,lost_or_stolen_card
2,12,8340,Whats wrong with my currency exchange?,wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate
2,13,7029,Why can I not do a  transfer,beneficiary_not_allowed,failed_transfer
2,14,3967,Why is my identity verification process not working?,unable_to_verify_identity,virtual_card_not_working
2,15,1756,How many incorrect attempts cause card to be blocked?,pin_blocked,contactless_not_working
2,16,3130,Can I use my card while on vacation overseas?,card_acceptance,card_delivery_estimate
2,17,3885,i need to proof my identity to you why and how?,why_verify_identity,unable_to_verify_identity
2,18,4091,How do I get started when I get my card?,get_physical_card,activate_my_card
2,19,3251,"I'm having an issue with transaction. I topped up my account and saw it went through, but that was a few days ago and the money isn't in my account any more. What's up with that?",top_up_reverted,transfer_not_received_by_recipient
2,20,9154,What options do I have when topping up a US card?,top_up_by_card_charge,supported_cards_and_currencies
2,21,5,When did you send me my new card?,card_arrival,lost_or_stolen_card
2,22,7040,My attempted transfer keeps kicking back with an error message.  Could you please help me to resolve this?,beneficiary_not_allowed,failed_transfer
2,23,6517,What do I need to do to verify my funds?,verify_source_of_funds,verify_my_identity
2,24,1077,I ordered my card a couple weeks ago and haven't received it yet. When can I expect it?,card_delivery_estimate,card_arrival
2,25,5662,"i have tried everything to complete a transfer but can't, what should i do next",declined_transfer,failed_transfer
2,26,4276,The money disappeared after I topped up my account.,topping_up_by_card,top_up_reverted
2,27,3160,Has my top-up gone through?,top_up_reverted,pending_top_up
2,28,3701,"my identity hasn't been verified and i can't edit my details, what's next",edit_personal_details,unable_to_verify_identity
2,29,8063,Where do you need to live to receive card,order_physical_card,country_support
2,30,8043,How long before a check I send clears?,top_up_by_cash_or_cheque,balance_not_updated_after_cheque_or_cash_deposit
2,31,1505,"My wallet was stolen, along with my cards. How do I put a freeze on my cards and order a new one?",lost_or_stolen_card,compromised_card
2,32,878,Why has my deposit in the ATM not cleared yet?,pending_cash_withdrawal,balance_not_updated_after_cheque_or_cash_deposit
2,33,7432,"I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system?",failed_transfer,virtual_card_not_working
2,34,2912,Do you accept Mastercard?,supported_cards_and_currencies,visa_or_mastercard
2,35,9317,Can I use my new card?,activate_my_card,card_linking
2,36,8594,I can't access my money. Is it because somethings wrong with the top-up? I set it up correctly.,top_up_failed,top_up_reverted
2,37,6809,My payment has not been accepted.,reverted_card_payment?,declined_card_payment
2,38,799,I didn't receive my money earlier and it says the transaction is still in progress. Can you fix it?,pending_cash_withdrawal,transfer_not_received_by_recipient
2,39,6056,I recently purchased something and the seller says my money has not arrived yet. It was in EU's. How long does this take?,pending_transfer,transfer_not_received_by_recipient
2,40,9004,How much do you charge for exchange rates?,exchange_charge,exchange_rate
2,41,7583,How do I top up?,transfer_into_account,topping_up_by_card
2,42,8853,I was the victim of someone stealing my wallet.  My card is being used and it isn't me.  What should I do?,cash_withdrawal_not_recognised,compromised_card
2,43,8543,Why are you keeping my money from me by declining my card? What is going on?,top_up_failed,declined_card_payment
2,44,225,Can I activate a card in the app?,card_linking,activate_my_card
2,45,7519,Been trying to transfer money this morning but keep getting rejected. I don't understand why this is happening.,failed_transfer,declined_transfer
