id,text,category
0,I am still waiting on my card?,card_arrival
1,What can I do if my card still hasn't arrived after 2 weeks?,card_arrival
3,Can I track my card while it is in the process of delivery?,card_arrival
4,"How do I know if I will get my card, or if it is lost?",card_arrival
6,Do you have info about the card on delivery?,card_arrival
7,What do I do if I still have not received my new card?,card_arrival
8,Does the package with my card have tracking?,card_arrival
11,"I still haven't received my card after two weeks, is it lost?",card_arrival
12,Can you track my card for me?,card_arrival
13,Is there a way to track the delivery of my card?,card_arrival
15,Will I be able to track the card that was sent to me?,card_arrival
16,I don't have my card in 1 week.  Should I be worried?,card_arrival
18,My new card has not been delivered to my home yet. What is going on?,card_arrival
19,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival
20,"On the card that is coming, what's the tracking info?",card_arrival
22,Have you sent out my card yet?,card_arrival
23,My card isn't here yet.,card_arrival
24,where is my new card?,card_arrival
25,It's been a week since you sent my card and I still don't have it.,card_arrival
26,How do I track the card you sent me?,card_arrival
30,Is there a tracking number for the card you sent me?,card_arrival
31,I would like to track the card you sent to me.,card_arrival
32,Has my card been lost in delivery?,card_arrival
33,My new card hasn't came in.,card_arrival
34,Where is the card I ordered 2 weeks ago?,card_arrival
35,Can I get an update on my replacement card?,card_arrival
37,What's the tracking on the card you sent?,card_arrival
38,I haven't received my card and am worried it is lost.,card_arrival
41,Where is my credit card that was to be mailed?,card_arrival
43,Am I able to track the card that was just sent to me?,card_arrival
45,I'm still waiting for my new card.,card_arrival
46,Is my card lost? I am still waiting for it to be delivered.,card_arrival
47,Should I keep waiting for my card to be delivered?,card_arrival
48,Can I track when my card will be delivered?,card_arrival
50,"A card has been sent to me, how do I track it?",card_arrival
52,What can I do to track the card you sent me?,card_arrival
53,why hasnt my card come in yet?,card_arrival
54,How can I periodically check the delivery of the card you sent?,card_arrival
55,What's the reason my new card hasn't come?,card_arrival
57,I don't have my card after 1 week. What are my next steps?,card_arrival
59,I want to find out what happened to my new card?,card_arrival
60,Was there a way for me to get tracking for that?,card_arrival
61,I am still waiting for my card.,card_arrival
62,My card hasn't arrived.,card_arrival
63,Can I track the card you sent to me?,card_arrival
64,I haven't gotten my new card.,card_arrival
67,how to track the card you sent,card_arrival
68,2 weeks ago I ordered my new card.  It isn't here.  What should I do?,card_arrival
69,How can I check on the delivery status of my card?,card_arrival
70,"My card has not been delivered yet and its been a week since I ordered it, please help",card_arrival
72,How can I see the progress of delivery of the card that was sent?,card_arrival
73,"My card was supposed to arrive, but hasn't?",card_arrival
74,I ordered a card and would like to know how to track the delivery progress of it.,card_arrival
76,My card hasn't shown up yet.,card_arrival
77,Does the card you sent have a tracking number?,card_arrival
79,maximum how many days get the courier?,card_arrival
81,"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival
82,How can I track my card's delivery?,card_arrival
85,"What's go on, where is my new card?",card_arrival
86,Where is my new card if I haven't received it yet?,card_arrival
88,Can you tell me why I haven't received my new card yet?,card_arrival
89,Is there a way to track my card?,card_arrival
90,Is there a way to track the new card you sent me?,card_arrival
91,I'm still waiting for my card.,card_arrival
94,Could I get tracking on the card?,card_arrival
95,Can you help me track my card?,card_arrival
98,"I would like to track a card sent to me, how do I do that?",card_arrival
99,Is there a tracking number for the card?,card_arrival
100,can you share card tracking number?,card_arrival
102,Is there a way I can check on the card on route to me?,card_arrival
104,Why haven't I received my new card yet?,card_arrival
107,I haven't received my card.,card_arrival
108,Is it possible for me to track the card is was mailed to me?,card_arrival
110,I was issued a card about a week ago. why hasn't it come in yet?,card_arrival
111,Can you please tell me where my card is? I ordered it 2 weeks ago!,card_arrival
113,I'm still waiting for my card that was issued a week ago. What should I do?,card_arrival
115,Do you have a tracking number for the card I was sent?,card_arrival
116,How do I track the card you sent to me?,card_arrival
117,Is my new bank card on the way and is there a way to track it?,card_arrival
118,Could you send me and up date on the arrival of my card?,card_arrival
120,My card has not come in the mail yet.,card_arrival
121,What's the card you sent me's tracking number?,card_arrival
124,I thought I would have received my new card at this point.,card_arrival
128,Is it possible to track the card you sent me?,card_arrival
130,how can i track card you sent,card_arrival
131,Can the card was sen to me be tracked?,card_arrival
132,why have i not got my new card?,card_arrival
133,I need to track the card sent to me.,card_arrival
136,Where is the tracking number for the card?,card_arrival
138,Can I track the card that you sent me in the mail?,card_arrival
139,Can you tell me if I can track the card you sent me?,card_arrival
141,I'm still waiting on my new card to be delivered!,card_arrival
142,My new card isn't here and it was issued a week ago.,card_arrival
143,"I was supposed to receive my new card by now, but it hasn't came in.",card_arrival
144,Is a tracking number available for the card that was just sent?,card_arrival
145,Why haven't I gotten my new card?,card_arrival
146,Was there a number to track that I could get?,card_arrival
148,I haven't gotten my credit card in the mail.,card_arrival
149,My card hasn't arrived yet. What do I do?,card_arrival
150,"My card still hasn't arrived after two weeks, now what?",card_arrival
151,My card appears to have never arrived?,card_arrival
152,My card never arrived.,card_arrival
153,My card has been found. Is there any way for me to put it back into the app?,card_linking
154,I was able to find my card. How to I go about putting it into my app?,card_linking
155,how do I get my card to show in the app?,card_linking
156,I just got my card.  It's not linked yet--how do I do that?,card_linking
157,"lost card found, want to put it back in app",card_linking
158,"I just got a card, how can I add it to the app?",card_linking
159,Is there any way to see my card in the app?,card_linking
160,If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,card_linking
161,I found my card. How can I put it into my app?,card_linking
162,How do I make my card show up in the app?,card_linking
163,Can you show me where to link the new card?,card_linking
164,I found my old card. Can I link it back into the app?,card_linking
165,"Show me how to link the new card,",card_linking
166,How do I add an existing card to the app?,card_linking
167,I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,card_linking
168,How do I link one of your card that I already have?,card_linking
169,If I have a physical card can I link it?,card_linking
170,I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,card_linking
171,Can I add a card that I just found (again) to the app?,card_linking
172,How can I make my card show up in the app?,card_linking
174,"Okay, I found my card, can I put it back in the app?",card_linking
175,Can I reactivate a card?,card_linking
176,I would like to reactivate a card and wondered if that could be done?,card_linking
177,"I got my card now, how do I make it show up in the app?",card_linking
178,How do I link an existing card?,card_linking
179,How do I link a new card in the app?,card_linking
180,"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",card_linking
181,I already have a card and want to link it,card_linking
182,Can you please reactivate my card?,card_linking
183,Where do I go to add a new card?,card_linking
184,I want my card I just received to show up in the app. How do I do that?,card_linking
185,"I received my card, how do I get it to show in the app?",card_linking
186,If I have a credit card with you how I get set up to link to it?,card_linking
187,How do I add my new card?,card_linking
188,"I want to reactivate my card, I thought I had lost it but found it again this morning.",card_linking
189,"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",card_linking
191,"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",card_linking
192,"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",card_linking
193,How do I reactivate a card I thought I lost?,card_linking
194,Help me figure out how to link the new card.,card_linking
195,I found my lost card. Am I still able to use it?,card_linking
196,Will I need a new card or can I put my old card back into the app?,card_linking
197,Is there a way to link the card i just got?,card_linking
198,How do I add a new card?,card_linking
199,"I want to reactivate my card, I found it after thinking it was lost.",card_linking
200,Can I put my old card back in the app?,card_linking
202,I found the card I thought I lost this morning. Can I reactivate this card?,card_linking
203,How do i go about linking a new card?,card_linking
204,how do i get the card linked,card_linking
205,"I have one of your cards, but I don't know how to link it.",card_linking
206,how do I link an old card?,card_linking
207,I received my card. How do I link it to the app?,card_linking
208,"Now that I have my card, how do I connect it to the app?",card_linking
209,How do I add the card I just received to show up in the app?,card_linking
210,"I want to reactivate my card, I thought I had lost it but I found it.",card_linking
211,What do I need to do to link my new card for my account?,card_linking
212,Can I add a card to back into the app?,card_linking
213,I want to link my new card. Can you help?,card_linking
214,What is the process to link the new card?,card_linking
215,"I found my card, am I able to put it back into the app?",card_linking
216,"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?",card_linking
218,How do I add a card on to the app?,card_linking
219,"I found my card in my jacket this morning, so can I reactivate it?",card_linking
220,"I've obtained the card, how do I enable it on the app?",card_linking
221,I need to find the card I received in the app.,card_linking
222,How do I get my card on the app?,card_linking
223,"In the app, how can I make it show the new card that arrived?",card_linking
224,How do I link my new card?,card_linking
226,"I want to link to my card card with you, how?",card_linking
227,I would like to link my card to my account.,card_linking
228,"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",card_linking
229,How can I link the new card?,card_linking
230,I got a new card and can't find where to link it.,card_linking
231,"Hey, I have my card, how do I get it to show in the app?",card_linking
233,Where do I scan my card?,card_linking
234,Can I reactivate my card? I reported it lost and found it this morning in my jacket.,card_linking
235,Can I link my card I previously received?,card_linking
236,"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",card_linking
237,"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",card_linking
238,You sent me a card and now I want to link it.,card_linking
240,Can I add a card back to the app?,card_linking
241,What if I want to add a card I already have to the app?,card_linking
242,"I recently reported my card as missing/lost, and I just found it. Can I still use it?",card_linking
243,"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",card_linking
244,Is there a way to link cards if I have one of yours?,card_linking
245,If my card was lost or stolen can I re-link it?,card_linking
246,How do I link a new card to an existing one?,card_linking
247,How do I link a new payment card?,card_linking
249,"Card has been received, how will it show up on the app?",card_linking
250,Can I re-link a lost card with the app?,card_linking
251,What do I do to link my new card?,card_linking
252,Is it possible to link a new card?,card_linking
253,I deactivated my card but would like to reactivate it.,card_linking
254,"I found my card that I thought I had lost, I need to reactive it, please help.",card_linking
255,can I link a card of yours I already have?,card_linking
256,Can I put my found card back into the app on my phone?,card_linking
257,"My card arrived but I need to make it work in the app, how do I do that?",card_linking
258,"I found the card that I thought I lost, and I would like to reactivate it.",card_linking
259,I found my card again. Can I put it back into the app?,card_linking
260,I need some help linking my new card.,card_linking
261,help me link my card,card_linking
262,How do I link my card in the app.,card_linking
263,How do I get my card into the app?,card_linking
264,I found my card! Can I link it back into the app?,card_linking
266,Where do I go to get my new card linked?,card_linking
267,"I thought I lost my card but I found it today, so I would like to reactivate it.",card_linking
268,How do I link the new card that I just got from you guys?,card_linking
269,How can I add a new card?,card_linking
270,Can you tell me how to get my card on the app?,card_linking
271,Is it possible to reactivate the card I thought I lost but found this morning in my jacket?,card_linking
272,How do I make my card appear on the app?,card_linking
273,How do I link the new card?,card_linking
274,Where in the app do I link a new card?,card_linking
275,How do I add my card to the app once I get it?,card_linking
276,Can I link your physical card,card_linking
278,"I got a card, how do I get it in the app?",card_linking
279,I received my new card.  Where is it in the app?,card_linking
280,"I found my card, how can I use it again?",card_linking
281,"I just received a new card, where do I go to link it to my account?",card_linking
282,"found card, how to put it back in app",card_linking
283,How do I see my card in the app?,card_linking
284,"The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?",card_linking
285,I don't see my card anywhere in the app.,card_linking
286,"I received my card, how do I get it to work in the app?",card_linking
288,if i found a lost card can i put it back in app,card_linking
289,I have a card that was deactivated can I reactivate it?,card_linking
290,"My new card isn't in my app, how do I get it in there?",card_linking
291,Help me access the card I already got so I can information from it.,card_linking
292,What is my money worth in other countries?,exchange_rate
294,Do you know the rate of exchange?,exchange_rate
297,How is the exchange rate doing?,exchange_rate
298,I would like to know how exchange rates are calculated when transferring funds.,exchange_rate
299,I would like to know what exchange rates you use?,exchange_rate
301,Do you know what your exchange rates are?,exchange_rate
302,How do I know what exchange rate I will get?,exchange_rate
303,What are you exchange rates?,exchange_rate
304,Do you have the best exchange rate?,exchange_rate
305,Where can I find your exchange rates?,exchange_rate
306,Your exchange rates come from where?,exchange_rate
309,What do you think of the exchange rate?,exchange_rate
310,How are exchange rates calculated at this bank?,exchange_rate
311,What do you use to figure out the exchange rate for the card?,exchange_rate
312,What's the foreign exchange rate I will receive?,exchange_rate
313,I need to know what foreign exchange rate I can get.,exchange_rate
314,What are the current exchange rates?,exchange_rate
315,What exchange rate will I receive?,exchange_rate
316,What is the basis of your exchange rates?,exchange_rate
317,How's the exchange rate?,exchange_rate
318,How do you determine your exchange rates?,exchange_rate
319,How do the foreign exchange rates work?,exchange_rate
320,Where are you getting your exchange rates from?,exchange_rate
321,How is the exchange rate calculated?,exchange_rate
322,I'm interested in what your exchange rates are based on.,exchange_rate
323,How do you decide what the exchange rates are?,exchange_rate
324,What is the current exchange rate?,exchange_rate
325,What is the formula for your exchange rate?,exchange_rate
326,What method do you use for the exchange rate?,exchange_rate
327,What are Interbanks current exchange rates?,exchange_rate
328,from where are coming your exchange rates?,exchange_rate
329,How do you calculate exchange rates?,exchange_rate
330,Why is your exchange rate different on different days?,exchange_rate
331,Where can I find the exchange rate for my transfer?,exchange_rate
332,Where can I get your exchange rates from?,exchange_rate
333,How do you find the exchange rate?,exchange_rate
334,How are exchange rates determined?,exchange_rate
335,What value can I get for my currency?,exchange_rate
336,Please explain your exchange rate policy.,exchange_rate
337,What are your exchange rates calculated from?,exchange_rate
338,What is an exchange rate?,exchange_rate
339,What is your opinion on the exchange rate?,exchange_rate
340,What are the exchange rates you assign?,exchange_rate
341,How do you determine exchange rates?,exchange_rate
342,How are your exchange rates calculated?,exchange_rate
343,How is an exchange rate calculated?,exchange_rate
344,"When exchanging, how much are the rates?",exchange_rate
345,What is the exchange rate for EUR?,exchange_rate
346,How can I find your exchange rates?,exchange_rate
347,Could you please tell me your exchange rates?,exchange_rate
348,Is there an exchange rate?,exchange_rate
349,How does the exchange rate work?,exchange_rate
350,What is the present state of the exchange rate?,exchange_rate
351,How are foreign exchange rates determined?,exchange_rate
352,How's the exchange rate looking right now?,exchange_rate
354,What is the foreign exchange rate you will apply?,exchange_rate
355,explain the interbank exchange rate,exchange_rate
356,What will my exchange rate be?,exchange_rate
357,how do you get exchange rates,exchange_rate
358,What exchange rates do you use?,exchange_rate
359,How will I know what the exchange rate is?,exchange_rate
360,What factors effect the exchange rate?,exchange_rate
361,Where does the exchange rate stand right now?,exchange_rate
362,I'd like to know what the foreign exchange rate will be.,exchange_rate
363,Does the exchange rate change?,exchange_rate
364,How do your exchange rates factor in?,exchange_rate
365,Will I know which exchange rate I will get?,exchange_rate
366,How do I know what the exchange rate will be when I make an exchange.,exchange_rate
367,Is the exchange rate the same on weekends as the weekdays?,exchange_rate
368,How do you do exchanges?,exchange_rate
369,On what do you base your exchange rates?,exchange_rate
370,How do you come up with your exchange rate,exchange_rate
371,What factors determine your exchange rate?,exchange_rate
372,How are the exchange rates determined?,exchange_rate
374,Is the exchange rate current?,exchange_rate
375,What are the exchange rates?,exchange_rate
376,How much are the rates of exchange?,exchange_rate
378,Your exchange rates are coming from where?,exchange_rate
379,Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?,exchange_rate
380,How are the exchange rates for transfers calculated?,exchange_rate
381,How do I know how much money I will have when I travel abroad?,exchange_rate
383,Can you explain your exchange rates basis?,exchange_rate
384,How did you guys get your exchange rate?,exchange_rate
385,Can you tell me your exchange rates?,exchange_rate
386,Could you tell me what your exchange rates are?,exchange_rate
388,what are your exchange rates at?,exchange_rate
389,How is the current exchange rate?,exchange_rate
390,What is the system for determining the exchange rate?,exchange_rate
391,I am travelling and I was wondering what your exchange rates are,exchange_rate
392,How can I tell what foreign exchange rate I will get?,exchange_rate
393,Tell me your opinion on the exchange rate.,exchange_rate
394,I'd like to know what you guys look at to decide an exchange rate,exchange_rate
395,How does the exchange rate work on this app?,exchange_rate
396,where do you find your exchange rates?,exchange_rate
398,What exchange rate is it?,exchange_rate
399,What is the source of your exchange rates?,exchange_rate
400,i need to know about exchange rates,exchange_rate
401,Where do you get those exchange rates?,exchange_rate
402,How do you determine the exchange rate?,exchange_rate
403,What foreign exchange rate will I get?,exchange_rate
404,"Last Saturday, I was charged extra for the exchange rate on my payment. Is something wrong?",card_payment_wrong_exchange_rate
405,"Hi, I am disappointed to see such a bad exchange rate and hope you can assist me. Would you be able to confirm the official interbank exchange rate for me?",card_payment_wrong_exchange_rate
407,The exchange rate I was charged for a purchase was not right.,card_payment_wrong_exchange_rate
408,Can you please explain why the exchange rate for the item I bought is wrong?,card_payment_wrong_exchange_rate
409,I think something went wrong with my exchange between Russian Ruble and UK pounds. I was overcharged during the swap.,card_payment_wrong_exchange_rate
410,My payment has an incorrect exchange rate.,card_payment_wrong_exchange_rate
411,my exchange rate looks wrong for my last payment,card_payment_wrong_exchange_rate
412,The exchange rate you are using is bad.This can't be the official interbank exchange rate.,card_payment_wrong_exchange_rate
413,I was charged the wing amount for an item.,card_payment_wrong_exchange_rate
415,Why is the exchange rate terrible?  That can't be close to the actual interbank rate.,card_payment_wrong_exchange_rate
416,An incorrect exchange rate was applied to an item I bought.,card_payment_wrong_exchange_rate
417,The exchange rate was incorrect for an item I bought.,card_payment_wrong_exchange_rate
418,The exchange rate on my payment doesn't look right,card_payment_wrong_exchange_rate
419,"I just saw the exchange rate you use, but it's so bad that I can't believe that it's the official interbank exchange rate! Is this truly the official interbank exchange rate?",card_payment_wrong_exchange_rate
420,This exchange rate you use is awful! Please tell me this is a mistake and not the official interbank exchange rate!,card_payment_wrong_exchange_rate
421,After purchasing an item I noticed the exchange rate was incorrect.,card_payment_wrong_exchange_rate
422,The amount of exchange was not correct for the item i bought.,card_payment_wrong_exchange_rate
423,The exchange rate from my card payment isn't right.,card_payment_wrong_exchange_rate
425,Why was the exchange rate so wrong when I bought something!,card_payment_wrong_exchange_rate
426,My exchange rate was wrong for an Item I bought!,card_payment_wrong_exchange_rate
427,I was using a foreign currecy to make a payment and the applied the wrong rate.,card_payment_wrong_exchange_rate
428,The exchange rate was incorrect for this item I bought.,card_payment_wrong_exchange_rate
429,I purchased something overseas and the incorrect exchange rate was applied.,card_payment_wrong_exchange_rate
430,The exchange rate is incorrect for my payment.,card_payment_wrong_exchange_rate
431,The item i bought exchanged rate was incorrect.,card_payment_wrong_exchange_rate
432,I'm on holiday and I noticed a different amount for exchange rate.  Can you explain?,card_payment_wrong_exchange_rate
433,I bought something in another country but the exchange rate is wrong,card_payment_wrong_exchange_rate
435,Exchange rate for my card payment is wrong,card_payment_wrong_exchange_rate
436,the exchange rate at which my card payment is at is wrong,card_payment_wrong_exchange_rate
437,There was a problem with the exchange rate on a purchase.,card_payment_wrong_exchange_rate
438,"I recently purchased something, and the exchange rate was wrong.",card_payment_wrong_exchange_rate
439,What if there is an error on the exchange rate?,card_payment_wrong_exchange_rate
441,Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,card_payment_wrong_exchange_rate
442,I used foreign currency to buy something and I think the rate applied is incorrect.,card_payment_wrong_exchange_rate
444,Why is your exchange rate so bad?,card_payment_wrong_exchange_rate
445,The exchange rate looks wrong on a holiday purchase,card_payment_wrong_exchange_rate
446,"I purchased something abroad, and the exchange rate that was applied was wrong.",card_payment_wrong_exchange_rate
447,I bought something and I take issue with the exchange rate applied.,card_payment_wrong_exchange_rate
448,I think there has been a mistake on my exchange rate for this purchase.,card_payment_wrong_exchange_rate
449,You did not give me the correct exchange rate for an item that I bought.,card_payment_wrong_exchange_rate
451,"I seem to have been charged to much for my holiday purchases, the exchange rate is wrong.",card_payment_wrong_exchange_rate
452,"In regards to my card payment, the exchange rate is incorrect.",card_payment_wrong_exchange_rate
453,I bough an item and the exchange rate was incorrect.,card_payment_wrong_exchange_rate
454,Why did you charge me more for my purchase? It was a foreign currency and you didn't offer market rate,card_payment_wrong_exchange_rate
455,I question today's exchange rate for rubles into pounds. I was hoping for a better return.,card_payment_wrong_exchange_rate
456,I feel as though I have been over charged for the exchange rate on my payment on last Saturday.,card_payment_wrong_exchange_rate
458,The currency exchange rate was wrong for a purchase I made.,card_payment_wrong_exchange_rate
460,Your exchange rate was off.  I was charged extra on my payment that I made last Saturday.,card_payment_wrong_exchange_rate
461,I was charged the wrong exchange rate on a purchase,card_payment_wrong_exchange_rate
462,Can you change the rate for the item I bought in a different currency as it is wrong?,card_payment_wrong_exchange_rate
463,The currency exchange for my purchase in foreign currency is incorrect.,card_payment_wrong_exchange_rate
464,I noticed the currency exchange rate was incorrect after paying for something in a foreign country.,card_payment_wrong_exchange_rate
465,My foreign currency exchange has been applied incorrectly.,card_payment_wrong_exchange_rate
466,Why isn't my purchase exchange rate correct?,card_payment_wrong_exchange_rate
467,I noticed that the exchange rate applied to a recent purchase I made abroad was incorrect.,card_payment_wrong_exchange_rate
469,Why is the exchange rate different on my recent purchase?,card_payment_wrong_exchange_rate
470,The fee charged when I changed rubles into British pounds was too much.,card_payment_wrong_exchange_rate
471,I wasn't charged the correct exchange rate for an item I purchased.,card_payment_wrong_exchange_rate
472,Does the fee for exchange change?,card_payment_wrong_exchange_rate
473,The rate applied to my purchase in a foreign currency was wrong.,card_payment_wrong_exchange_rate
475,something is wrong with my exchange rate charge,card_payment_wrong_exchange_rate
476,Seems like the exchange rate for my payment last Saturday was wrong. I was charged extra.,card_payment_wrong_exchange_rate
477,It seems that something went wrong with my exchange. I changed Russian Ruble into UK pounds but have been charged entirely too much!,card_payment_wrong_exchange_rate
478,I bought an item then noticed the exchange rate was wrong.,card_payment_wrong_exchange_rate
479,The exchange rate applied is wrong for my international purchase.,card_payment_wrong_exchange_rate
481,They used the wrong rate when I made a purchase with foreign currency.,card_payment_wrong_exchange_rate
482,Does the exchange rate change each day for purchases? There is a different rate on my purchase.,card_payment_wrong_exchange_rate
483,It seems that the rate I got is incorrect.,card_payment_wrong_exchange_rate
484,I exchanged Russian rubles for British pounds today and got less than I expected. Was exchange rate correct?,card_payment_wrong_exchange_rate
485,Was I charged more than I should of been for a currency exchange?,card_payment_wrong_exchange_rate
486,What do i do if the exchange rate was wrong for the item i bought overseas?,card_payment_wrong_exchange_rate
487,My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?,card_payment_wrong_exchange_rate
488,I have been overcharged. I just changed over Russian Ruble to UK pounds and it was too much. It seems something was wrong with my exchange.,card_payment_wrong_exchange_rate
489,What is your exchange rate between UK pounds and Russian rubles for my last transaction,card_payment_wrong_exchange_rate
490,I think there was an error in your exchange rate.,card_payment_wrong_exchange_rate
491,The exchange rate was not correct for the item I bought.,card_payment_wrong_exchange_rate
492,I noticed an extra charge on the purchase that I made last Saturday on my account. Can you see if I received the correct exchange rate?,card_payment_wrong_exchange_rate
493,My exchange seems to have something wrong with it. I changed over Russian Ruble to UK pounds and it appears I was charged way more than I was supposed to be.,card_payment_wrong_exchange_rate
494,The correct exchange rate wasn't given to me for an item I purchased.,card_payment_wrong_exchange_rate
